,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,7139.000000,433.000000,2353.000000,2155.000000,2185.000000,2833.000000,4259.000000,36.000000,3437.000000,2314.000000,1365.000000,1173.000000,1590.000000,2854.000000,1519.000000,1648.000000,3514.000000,1593.000000
Major reason,8.290431,13.412935,10.083984,5.526219,4.719155,10.667881,6.573692,5.889649,6.746284,8.996043,9.290293,8.667366,8.406433,8.707092,7.249085,10.211793,8.234470,6.260767
Minor reason,27.387423,23.277123,31.341333,26.932256,24.087151,29.338490,26.093212,12.320440,27.488276,26.066871,28.247146,28.010989,29.078923,26.981110,26.129175,24.869379,29.092209,28.353981
Not a reason,64.322146,63.309943,58.574683,67.541525,71.193694,59.993629,67.333096,81.789912,65.765440,64.937086,62.462561,63.321645,62.514644,64.311798,66.621740,64.918828,62.673321,65.385252
