,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,2555.000000,419.000000,1192.000000,671.000000,265.000000,788.000000,1731.000000,32.000000,1066.000000,864.000000,618.000000,387.000000,481.000000,1222.000000,464.000000,835.000000,1149.000000,461.000000
Major reason,81.425660,84.994117,83.693450,74.970867,65.903106,82.490941,81.286673,63.159019,84.830522,84.214598,76.528702,79.090325,81.294022,82.285223,81.984251,80.030967,84.325658,82.843481
Minor reason,13.775114,11.275243,11.766942,18.986613,25.469231,13.288879,13.466597,35.955730,11.699509,12.911244,16.070185,16.108810,12.505861,13.367932,14.215854,14.606012,12.394339,13.584480
Not a reason,4.799226,3.730640,4.539608,6.042520,8.627663,4.220180,5.246730,0.885252,3.469969,2.874158,7.401113,4.800866,6.200117,4.346845,3.799895,5.363021,3.280003,3.572039
