,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,2557.000000,315.000000,1031.000000,755.000000,451.000000,1411.000000,1115.000000,29.000000,1465.000000,738.000000,349.000000,422.000000,503.000000,1091.000000,540.000000,526.000000,1220.000000,719.000000
Major reason,6.131404,6.748789,7.376131,3.751082,4.915177,5.293624,7.135708,1.738235,3.628042,6.061367,10.066276,7.762317,4.390233,6.256334,6.074644,8.971383,6.418160,1.773555
Minor reason,22.521929,23.050755,25.127111,16.572445,23.837100,25.252191,17.935574,33.434832,16.652044,22.579639,31.890955,23.386944,21.144422,23.886494,20.611139,23.910325,23.074143,16.151314
Not a reason,71.346667,70.200456,67.496758,79.676473,71.247724,69.454185,74.928717,64.826933,79.719913,71.358994,58.042768,68.850739,74.465345,69.857172,73.314217,67.118292,70.507697,82.075130
