,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,2556.000000,420.000000,1192.000000,670.000000,266.000000,788.000000,1732.000000,32.000000,1066.000000,864.000000,619.000000,388.000000,482.000000,1221.000000,464.000000,834.000000,1152.000000,459.000000
Major reason,12.074678,17.308872,11.875206,6.446936,3.944663,16.628152,9.356796,17.631023,10.163062,11.324274,14.207002,10.723330,11.629558,11.785936,14.192913,14.305587,10.905918,6.099578
Minor reason,24.473056,30.697445,24.271876,15.387189,20.083299,28.715757,21.384179,44.372898,23.070454,24.604060,25.643895,25.818200,25.406360,23.965611,23.863026,23.197740,24.922793,22.290167
Not a reason,63.452266,51.993683,63.852918,78.165875,75.972038,54.656091,69.259026,37.996079,66.766484,64.071667,60.149103,63.458469,62.964082,64.248454,61.944061,62.496673,64.171289,71.610254
