,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,2555.000000,420.000000,1189.000000,671.000000,267.000000,788.000000,1731.000000,32.000000,1066.000000,864.000000,618.000000,388.000000,482.000000,1221.000000,463.000000,832.000000,1152.000000,461.000000
Major reason,34.001667,47.180254,32.886524,20.158197,16.685991,28.402718,36.330955,61.811396,31.042643,33.753815,35.957652,36.905372,27.743493,34.252597,37.424244,38.421957,32.374727,22.354360
Minor reason,31.737385,30.154936,32.430457,31.813329,32.990691,33.964586,30.581900,28.614268,29.519410,31.178882,33.950197,32.784250,34.158897,31.659981,29.077798,33.869924,29.427829,29.289320
Not a reason,34.260948,22.664810,34.683019,48.028473,50.323318,37.632696,33.087145,9.574336,39.437947,35.067303,30.092151,30.310378,38.097611,34.087422,33.497958,27.708119,38.197444,48.356320
