,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,7135.000000,433.000000,2351.000000,2154.000000,2184.000000,2833.000000,4255.000000,36.000000,3440.000000,2313.000000,1359.000000,1174.000000,1591.000000,2849.000000,1518.000000,1646.000000,3512.000000,1593.000000
Major reason,7.014812,10.448383,8.081554,4.740848,5.358685,7.320839,6.743726,12.580839,4.939780,5.640958,10.464669,7.091291,5.527610,7.639613,7.330300,10.690669,6.092949,3.479018
Minor reason,29.801601,33.687624,33.004509,24.735733,27.575842,27.968922,31.205021,31.135272,25.543154,30.614678,33.223020,29.573334,32.015104,29.972720,27.471030,33.230049,30.347812,23.075037
Not a reason,63.183587,55.863993,58.913937,70.523420,67.065472,64.710239,62.051253,56.283889,69.517067,63.744364,56.312311,63.335376,62.457286,62.387668,65.198670,56.079282,63.559240,73.445945
