,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,2555.000000,314.000000,1032.000000,757.000000,447.000000,1409.000000,1115.000000,29.000000,1462.000000,738.000000,350.000000,423.000000,503.000000,1088.000000,540.000000,526.000000,1220.000000,717.000000
Major reason,25.097279,25.818985,28.203068,21.178292,19.810344,26.488330,22.514301,26.684781,26.103274,23.783784,24.409322,28.286313,21.532552,26.918490,22.355300,29.409815,23.103397,23.403227
Minor reason,40.032130,41.397780,38.110973,39.858502,43.205257,40.985094,39.220269,29.478342,41.086196,39.221488,39.708534,36.208963,43.182395,37.521332,44.763108,35.111800,40.436967,45.146646
Not a reason,34.870590,32.783236,33.685959,38.963207,36.984399,32.526576,38.265429,43.836878,32.810531,36.994728,35.882144,35.504724,35.285053,35.560177,32.881593,35.478385,36.459636,31.450127
