,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,2553.000000,419.000000,1191.000000,669.000000,266.000000,788.000000,1729.000000,32.000000,1065.000000,862.000000,619.000000,387.000000,482.000000,1221.000000,462.000000,832.000000,1150.000000,460.000000
Major reason,27.544611,40.684675,25.601030,13.813489,14.736485,20.088852,31.940712,11.782088,23.464095,29.802861,28.781943,27.580023,23.226712,29.835838,26.830257,31.067841,26.103186,16.996374
Minor reason,34.636216,33.667656,36.124538,33.912745,28.717436,32.377775,36.044000,34.484273,34.984257,33.214539,35.715582,35.984018,35.566485,34.612629,32.355822,34.587211,36.273890,31.516850
Not a reason,37.819173,25.647669,38.274432,52.273766,56.546079,47.533373,32.015288,53.733639,41.551648,36.982600,35.502475,36.435959,41.206803,35.551533,40.813921,34.344948,37.622924,51.486776
