,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,7144.000000,433.000000,2356.000000,2157.000000,2185.000000,2834.000000,4263.000000,36.000000,3442.000000,2314.000000,1365.000000,1173.000000,1590.000000,2855.000000,1523.000000,1654.000000,3514.000000,1592.000000
Major reason,74.816849,76.178138,74.606962,73.653688,75.468104,67.620639,80.215960,75.124636,78.141896,77.366767,69.124200,73.672498,77.345774,73.472718,75.452587,72.845387,77.305815,74.329202
Minor reason,18.504191,16.428284,17.923307,19.940356,19.383310,23.859662,14.552802,10.785344,16.171890,16.789980,22.338890,18.186493,16.481291,20.093633,18.051523,19.042132,17.508026,19.144493
Not a reason,6.678960,7.393578,7.469731,6.405957,5.148586,8.519699,5.231238,14.090020,5.686215,5.843253,8.536910,8.141010,6.172935,6.433648,6.495890,8.112481,5.186159,6.526305
