,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,4496.000000,541.000000,1965.000000,1218.000000,766.000000,1600.000000,2842.000000,44.000000,2428.000000,1331.000000,722.000000,780.000000,849.000000,1805.000000,1059.000000,996.000000,2175.000000,1103.000000
Major reason,18.818157,26.027483,20.191401,11.997992,5.055973,20.746247,17.577631,12.259166,18.912710,18.209489,19.548833,16.848422,19.458800,20.624389,16.778420,20.174164,17.731083,18.875144
Minor reason,33.354160,38.921771,33.959234,28.704056,23.669082,37.366038,30.763519,20.552889,35.192555,32.938037,31.900490,37.154907,31.328213,30.838090,35.889357,33.053446,34.432259,33.458327
Not a reason,47.827683,35.050746,45.849364,59.297953,71.274945,41.887716,51.658850,67.187945,45.894735,48.852474,48.550678,45.996671,49.212987,48.537521,47.332223,46.772391,47.836658,47.666529
