,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,7140.000000,433.000000,2354.000000,2157.000000,2183.000000,2836.000000,4258.000000,35.000000,3441.000000,2315.000000,1361.000000,1173.000000,1592.000000,2853.000000,1519.000000,1652.000000,3510.000000,1593.000000
Major reason,32.981477,37.036909,32.437168,29.628210,35.162914,27.970835,36.688736,32.740682,33.903217,34.762318,30.479456,31.571017,32.511666,34.601934,31.651293,35.264298,32.967622,30.205922
Minor reason,41.287654,35.381940,41.700797,43.243456,42.635988,43.775885,39.360930,48.006191,40.399588,38.317440,44.617794,44.766347,39.862622,41.299600,40.069794,40.259993,42.173879,42.060961
Not a reason,25.730869,27.581151,25.862034,27.128335,22.201098,28.253279,23.950334,19.253127,25.697195,26.920242,24.902750,23.662636,27.625712,24.098466,28.278913,24.475709,24.858498,27.733117
