,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,2552.000000,420.000000,1189.000000,669.000000,266.000000,787.000000,1729.000000,32.000000,1066.000000,862.000000,617.000000,387.000000,480.000000,1220.000000,464.000000,833.000000,1148.000000,461.000000
Major reason,17.281194,18.794220,16.628453,15.276719,17.571432,15.264596,18.321917,11.387278,11.490251,18.887957,20.185388,20.666010,16.748716,17.775528,14.339706,21.898111,14.025702,8.627722
Minor reason,26.684232,32.092329,24.825853,22.259153,25.212764,23.888626,27.842670,48.505132,20.953426,24.222976,32.919706,26.910724,26.654054,27.423826,25.141751,30.374651,24.375046,20.172684
Not a reason,56.034574,49.113451,58.545695,62.464127,57.215804,60.846778,53.835413,40.107590,67.556323,56.889067,46.894907,52.423266,56.597230,54.800646,60.518542,47.727238,61.599252,71.199595
