,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,4496.000000,542.000000,1967.000000,1217.000000,764.000000,1601.000000,2841.000000,44.000000,2427.000000,1330.000000,725.000000,781.000000,849.000000,1804.000000,1059.000000,997.000000,2173.000000,1102.000000
Major reason,55.860961,65.310410,58.225824,49.393068,32.816325,56.715329,55.180994,62.708810,57.740728,54.685884,54.584364,53.838478,55.513591,58.425317,53.774219,54.906904,57.068895,58.154193
Minor reason,30.999228,27.696891,30.482575,33.508667,36.275928,31.400317,31.217603,18.655564,29.551523,33.361061,30.595155,29.221526,28.950570,30.948389,33.752508,31.175120,30.703181,28.572657
Not a reason,13.139811,6.992699,11.291601,17.098265,30.907746,11.884354,13.601403,18.635625,12.707748,11.953056,14.820481,16.939996,15.535838,10.626294,12.473274,13.917976,12.227924,13.273149
