,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,2554.000000,314.000000,1033.000000,752.000000,450.000000,1410.000000,1113.000000,29.000000,1461.000000,738.000000,350.000000,422.000000,499.000000,1091.000000,541.000000,524.000000,1221.000000,716.000000
Major reason,24.304174,20.675439,26.051952,24.780876,26.447719,25.271990,23.335198,16.714958,26.108003,24.728958,21.271179,26.845952,21.220161,23.767092,25.668820,24.357157,22.647430,26.246618
Minor reason,35.228993,36.950718,33.182900,34.531359,38.875400,36.356261,32.854044,39.825879,37.079380,32.400742,34.878571,34.324465,35.969542,36.061659,33.915199,31.202482,36.482273,38.586412
Not a reason,40.466832,42.373843,40.765148,40.687765,34.676881,38.371748,43.810757,43.459164,36.812617,42.870300,43.850250,38.829583,42.810298,40.171249,40.415981,44.440361,40.870297,35.166971
