,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,2555.000000,420.000000,1192.000000,671.000000,264.000000,789.000000,1730.000000,32.000000,1066.000000,863.000000,619.000000,387.000000,482.000000,1221.000000,464.000000,834.000000,1149.000000,461.000000
Major reason,19.810783,31.408594,17.741923,8.311114,8.835874,21.301886,19.247968,11.389962,19.924982,21.797046,18.136377,19.212276,16.268888,22.219486,18.534802,20.960355,20.572188,14.816755
Minor reason,32.936180,38.687025,32.344843,27.410963,20.661382,34.282869,31.442597,51.287605,36.858283,33.173356,30.244597,34.739078,34.403201,30.969107,34.684913,27.692237,36.327668,37.015235
Not a reason,47.253037,29.904381,49.913235,64.277922,70.502745,44.415245,49.309434,37.322432,43.216735,45.029598,51.619025,46.048646,49.327911,46.811407,46.780285,51.347409,43.100144,48.168011
