,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,7143.000000,433.000000,2354.000000,2159.000000,2184.000000,2836.000000,4260.000000,36.000000,3443.000000,2313.000000,1365.000000,1174.000000,1591.000000,2853.000000,1522.000000,1652.000000,3513.000000,1594.000000
Major reason,8.036228,9.343652,9.912929,6.147358,6.152245,7.636156,8.336298,1.550743,5.107628,7.467486,11.651594,10.760543,6.373209,8.751895,6.420432,10.916727,8.044609,2.754394
Minor reason,29.564445,25.827392,30.407323,28.403651,32.118193,25.299429,32.777189,28.841903,26.205488,30.678653,32.183923,28.701757,30.237253,30.912952,27.462342,29.966491,29.816287,27.198661
Not a reason,62.399327,64.828956,59.679747,65.448991,61.729562,67.064415,58.886513,69.607353,68.686884,61.853861,56.164483,60.537700,63.389538,60.335153,66.117225,59.116782,62.139104,70.046945
