,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,2555.000000,316.000000,1030.000000,755.000000,449.000000,1409.000000,1115.000000,29.000000,1463.000000,736.000000,351.000000,421.000000,503.000000,1090.000000,540.000000,525.000000,1218.000000,718.000000
Major reason,26.817919,37.004862,28.806294,18.306492,9.634777,28.723622,24.510303,17.211296,28.990178,24.901387,25.558042,28.668656,35.402072,26.600403,19.062546,27.655672,24.457348,29.063203
Minor reason,32.746525,32.793223,35.023253,30.975469,28.122718,33.765678,31.029705,26.591481,31.906706,30.447061,36.094314,29.469004,28.553400,32.752022,38.427959,31.529653,34.738522,30.647593
Not a reason,40.435556,30.201915,36.170453,50.718039,62.242506,37.510700,44.459992,56.197223,39.103116,44.651552,38.347643,41.862340,36.044528,40.647575,42.509495,40.814675,40.804130,40.289204
