,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,4497.000000,541.000000,1967.000000,1216.000000,767.000000,1602.000000,2841.000000,44.000000,2423.000000,1334.000000,725.000000,781.000000,850.000000,1806.000000,1057.000000,997.000000,2172.000000,1103.000000
Major reason,5.073152,8.016721,4.386700,3.852842,1.901755,4.642845,5.381509,4.157060,4.319186,4.965844,6.259466,3.859153,3.068411,6.119263,5.852934,6.993939,4.556806,2.412361
Minor reason,21.035022,25.201586,23.060484,14.453906,13.908261,22.259503,20.224557,23.159774,19.902792,19.607242,24.209069,23.548817,17.741823,21.239902,21.265614,23.276632,20.350515,18.381828
Not a reason,73.891827,66.781693,72.552816,81.693252,84.189984,73.097652,74.393934,72.683166,75.778022,75.426915,69.531465,72.592030,79.189767,72.640836,72.881453,69.729429,75.092679,79.205811
