,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,4501.000000,543.000000,1968.000000,1219.000000,765.000000,1602.000000,2845.000000,44.000000,2427.000000,1334.000000,725.000000,780.000000,853.000000,1806.000000,1059.000000,999.000000,2173.000000,1104.000000
Major reason,13.114648,14.955296,15.282584,8.872776,7.497858,8.698782,16.154883,6.400316,12.146616,11.285539,16.351343,12.110131,12.565381,15.710885,10.259284,18.443979,11.828063,8.462893
Minor reason,31.093775,33.110197,32.072655,29.215040,24.364705,26.805724,34.285166,27.361570,28.506958,34.564358,31.400050,31.605314,29.016078,31.353973,31.538426,33.124632,28.881878,32.132844
Not a reason,55.791576,51.934507,52.644762,61.912184,68.137437,64.495495,49.559951,66.238114,59.346426,54.150103,52.248607,56.284555,58.418541,52.935142,58.202290,48.431388,59.290059,59.404263
