,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,2553.000000,419.000000,1190.000000,670.000000,266.000000,786.000000,1731.000000,32.000000,1066.000000,861.000000,619.000000,387.000000,481.000000,1220.000000,464.000000,832.000000,1149.000000,461.000000
Major reason,14.822486,22.807158,12.706773,8.582825,7.419085,16.845098,13.253598,22.138086,11.161055,12.391574,19.586458,13.403703,15.109802,15.054642,15.200677,17.269319,14.309466,6.311513
Minor reason,26.499662,29.511361,28.395337,20.426743,16.183160,26.190750,26.322842,40.602081,26.566611,28.879426,24.541072,26.363403,24.638743,25.923333,29.072570,28.566575,25.559074,19.977767
Not a reason,58.677852,47.681481,58.897890,70.990432,76.397755,56.964152,60.423560,37.259833,62.272335,58.729000,55.872469,60.232894,60.251456,59.022025,55.726753,54.164106,60.131461,73.710720
