,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,2557.000000,315.000000,1031.000000,757.000000,449.000000,1412.000000,1114.000000,29.000000,1464.000000,736.000000,352.000000,422.000000,502.000000,1091.000000,541.000000,526.000000,1219.000000,720.000000
Major reason,28.321618,35.955343,28.655294,21.747243,20.162017,28.253132,28.147150,35.691561,26.450472,27.609383,31.360439,32.055635,24.263159,29.094223,27.402908,32.848073,28.081508,21.081808
Minor reason,34.014690,36.140682,32.133494,33.202808,37.399292,34.819756,32.131485,40.835222,34.064347,31.042753,37.391026,35.338969,37.560691,31.311906,34.866331,36.875074,33.524584,32.649562
Not a reason,37.663693,27.903975,39.211211,45.049949,42.438691,36.927113,39.721364,23.473217,39.485181,41.347865,31.248535,32.605396,38.176150,39.593871,37.730761,30.276853,38.393908,46.268630
