,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,7142.000000,432.000000,2353.000000,2158.000000,2186.000000,2832.000000,4263.000000,36.000000,3438.000000,2316.000000,1365.000000,1175.000000,1591.000000,2852.000000,1521.000000,1654.000000,3509.000000,1594.000000
Major reason,34.220337,35.486068,39.229028,33.280100,26.078697,29.739834,37.744675,26.512529,30.193838,35.947588,37.107317,34.832697,32.418808,38.073460,29.149560,39.299227,33.501349,29.819569
Minor reason,41.564147,39.563368,38.639438,43.701681,45.236936,44.522040,39.325638,32.439297,40.431421,42.201686,41.836798,40.174231,46.738958,38.702287,42.385564,39.599374,42.621167,42.657220
Not a reason,24.215517,24.950564,22.131533,23.018220,28.684366,25.738125,22.929687,41.048174,29.374741,21.850726,21.055886,24.993072,20.842235,23.224253,28.464876,21.101400,23.877484,27.523212
