,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,4501.000000,542.000000,1966.000000,1219.000000,768.000000,1602.000000,2845.000000,44.000000,2426.000000,1334.000000,726.000000,781.000000,850.000000,1808.000000,1059.000000,1001.000000,2175.000000,1102.000000
Major reason,54.405981,62.863114,50.590994,49.121054,54.833462,48.325411,58.690750,52.200525,60.287614,52.648321,49.302865,57.040459,50.139542,49.979848,62.664419,51.766752,55.536133,58.486358
Minor reason,28.888706,26.737405,31.406274,28.701349,25.843532,31.724681,26.579702,39.270494,24.625912,29.527432,32.752020,26.454409,33.392337,32.190512,22.002067,32.996565,27.031781,27.696247
Not a reason,16.705313,10.399481,18.002732,22.177596,19.323006,19.949909,14.729548,8.528981,15.086473,17.824247,17.945115,16.505131,16.468121,17.829640,15.333514,15.236683,17.432085,13.817395
