,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,4489.000000,541.000000,1962.000000,1219.000000,761.000000,1600.000000,2835.000000,44.000000,2422.000000,1329.000000,723.000000,781.000000,849.000000,1801.000000,1055.000000,995.000000,2170.000000,1100.000000
Major reason,7.788988,10.348924,8.115837,5.833117,3.077339,6.753279,8.485271,4.341140,5.382253,6.808105,12.076211,8.795231,6.045232,8.629765,6.991441,14.390253,5.461339,3.415127
Minor reason,25.063187,32.262600,26.022123,17.378029,15.791305,24.747340,25.490736,20.802267,23.758634,24.774496,27.354671,23.699930,25.568786,25.730732,24.441611,26.319459,24.899565,20.711814
Not a reason,67.147825,57.388476,65.862040,76.788854,81.131356,68.499381,66.023994,74.856593,70.859113,68.417399,60.569118,67.504839,68.385982,65.639503,68.566948,59.290288,69.639096,75.873060
