,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,2551.000000,316.000000,1028.000000,755.000000,447.000000,1409.000000,1111.000000,29.000000,1463.000000,732.000000,351.000000,422.000000,498.000000,1091.000000,539.000000,526.000000,1215.000000,718.000000
Major reason,44.752917,59.829856,46.332945,32.420000,23.618619,46.438115,42.814504,37.004411,44.440769,41.605123,49.215758,48.549117,44.062284,46.893925,38.673838,50.759204,43.080101,41.876537
Minor reason,36.647671,31.560089,35.096266,43.449381,41.989663,37.762911,33.637609,54.997993,33.684756,42.369954,34.354012,34.260244,41.693500,33.311523,40.324458,32.311050,37.669489,38.421384
Not a reason,18.599412,8.610055,18.570789,24.130619,34.391718,15.798974,23.547887,7.997597,21.874475,16.024923,16.430230,17.190638,14.244217,19.794552,21.001704,16.929747,19.250410,19.702080
