,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,2557.000000,315.000000,1030.000000,756.000000,451.000000,1412.000000,1115.000000,28.000000,1463.000000,739.000000,350.000000,420.000000,502.000000,1093.000000,541.000000,525.000000,1221.000000,719.000000
Major reason,11.920863,13.192239,10.942612,11.970460,12.200155,8.514213,16.201673,22.946993,8.310693,12.144152,17.491719,11.543612,8.485228,13.812071,11.627719,15.687991,11.675038,6.220220
Minor reason,21.045286,23.928296,21.173367,15.455806,24.054191,21.293608,20.408175,27.064978,21.859379,17.603263,23.820392,21.845387,28.151064,18.474762,19.345626,24.182177,20.231604,18.680844
Not a reason,67.033852,62.879466,67.884021,72.573734,63.745654,70.192180,63.390152,49.988028,69.829928,70.252586,58.687889,66.611002,63.363709,67.713166,69.026655,60.129832,68.093358,75.098936
