,Total,Age | 18-29,Age | 30-49,Age | 50-64,Age | 65+,Gender | A man,Gender | A woman,Gender | In some other way,Education | College graduate+,Education | Some College,Education | H.S. graduate or less,Region | Northeast,Region | Midwest,Region | South,Region | West,Income | Lower income,Income | Middle income,Income | Upper income
Unweighted Base,4492.000000,541.000000,1962.000000,1217.000000,766.000000,1600.000000,2838.000000,44.000000,2426.000000,1329.000000,722.000000,778.000000,849.000000,1806.000000,1056.000000,995.000000,2171.000000,1102.000000
Major reason,37.092997,47.760555,35.284116,31.131795,25.644139,33.183246,39.863767,36.891822,38.379808,34.567300,37.488137,35.807091,33.012134,37.539800,40.155271,41.474876,36.152633,32.207267
Minor reason,36.205894,31.974852,39.720590,35.110665,35.511483,38.248840,34.691780,34.229921,34.493558,38.663674,36.161515,34.212065,40.432618,37.703550,32.374463,35.126907,37.861748,32.509365
Not a reason,26.701109,20.264593,24.995294,33.757540,38.844379,28.567914,25.444452,28.878257,27.126633,26.769026,26.350347,29.980844,26.555248,24.756650,27.470266,23.398217,25.985619,35.283368
