variable,dtype,n_total,n_valid,n_missing,missing_pct,n_unique,question_id,platform,concept,role,universe,structural_missing,candidate,selection_reason,final_status,exclusion_reason,eligible_n,valid_response_n,special_n,eligible_missing_n,eligible_missing_pct,routing_violation_n
FBELSE_W144,float64,10454,2322,8132,77.79,4,,,,,,,,,,,,,,,,
FBWORN_W144,float64,10454,2322,8132,77.79,6,,,,,,,,,,,,,,,,
FBHARASS_W144,float64,10454,7157,3297,31.54,4,,,,,,,,,,,,,,,,
FBSHARE_W144,float64,10454,7157,3297,31.54,3,,,,,,,,,,,,,,,,
FBSHAREPOL_W144,float64,10454,5061,5393,51.59,6,,,,,,,,,,,,,,,,
FBWHYSP_a_W144,float64,10454,1988,8466,80.98,4,,,,,,,,,,,,,,,,
FBWHYSP_b_W144,float64,10454,1988,8466,80.98,4,,,,,,,,,,,,,,,,
FBWHYSP_c_W144,float64,10454,1988,8466,80.98,4,,,,,,,,,,,,,,,,
FBWHYSP_d_W144,float64,10454,1988,8466,80.98,4,,,,,,,,,,,,,,,,
FBWHYNTSP_a_W144,float64,10454,3071,7383,70.62,4,,,,,,,,,,,,,,,,
FBWHYNTSP_b_W144,float64,10454,3071,7383,70.62,4,,,,,,,,,,,,,,,,
FBWHYNTSP_c_W144,float64,10454,3071,7383,70.62,4,,,,,,,,,,,,,,,,
FBWHYNTSP_d_W144,float64,10454,3071,7383,70.62,4,,,,,,,,,,,,,,,,
FBSEEPOL_W144,float64,10454,7157,3297,31.54,6,,,,,,,,,,,,,,,,
FBPOLIDEO_W144,float64,10454,6369,4085,39.08,5,,,,,,,,,,,,,,,,
FBFREEEXP_W144,float64,10454,7157,3297,31.54,3,,,,,,,,,,,,,,,,
IGWHY_a_W144,float64,10454,4515,5939,56.81,4,IGWHY,Instagram,Get news,Outcome,Respondents eligible for Instagram module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,4515,4489,26,0,0.0,0
IGWHY_b_W144,float64,10454,4515,5939,56.81,4,IGWHY,Instagram,Politics or political issues,Outcome,Respondents eligible for Instagram module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,4515,4497,18,0,0.0,0
