table_id,platform,question,variable,measure,response_codes,universe,weight,banner_1,banner_2,banner_3,banner_4,banner_5,display,show_unweighted_base,show_weighted_percent,significance_testing,special_codes,routing_qa,weight_qa,status
T18,X,XTWHY,XTWHY_d_W144,Entertainment,1=Major reason; 2=Minor reason; 3=Not a reason,SMUSE_c_W144 == 1,WEIGHT_W144_XT,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T19,X,XTWHY,XTWHY_e_W144,Keep up with friends and family,1=Major reason; 2=Minor reason; 3=Not a reason,SMUSE_c_W144 == 1,WEIGHT_W144_XT,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T20,X,XTWHY,XTWHY_f_W144,Connect with others who share your interests,1=Major reason; 2=Minor reason; 3=Not a reason,SMUSE_c_W144 == 1,WEIGHT_W144_XT,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T21,X,XTWHY,XTWHY_g_W144,Look at product reviews or recommendations,1=Major reason; 2=Minor reason; 3=Not a reason,SMUSE_c_W144 == 1,WEIGHT_W144_XT,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T22,TikTok,TTWHY,TTWHY_a_W144,Get news,1=Major reason; 2=Minor reason; 3=Not a reason,SMUSE_i_W144 == 1,WEIGHT_W144_TT,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T23,TikTok,TTWHY,TTWHY_b_W144,Keep up with politics or political issues,1=Major reason; 2=Minor reason; 3=Not a reason,SMUSE_i_W144 == 1,WEIGHT_W144_TT,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T24,TikTok,TTWHY,TTWHY_c_W144,Keep up with sports or pop culture,1=Major reason; 2=Minor reason; 3=Not a reason,SMUSE_i_W144 == 1,WEIGHT_W144_TT,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T25,TikTok,TTWHY,TTWHY_d_W144,Entertainment,1=Major reason; 2=Minor reason; 3=Not a reason,SMUSE_i_W144 == 1,WEIGHT_W144_TT,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T26,TikTok,TTWHY,TTWHY_e_W144,Keep up with friends and family,1=Major reason; 2=Minor reason; 3=Not a reason,SMUSE_i_W144 == 1,WEIGHT_W144_TT,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T27,TikTok,TTWHY,TTWHY_f_W144,Connect with others who share your interests,1=Major reason; 2=Minor reason; 3=Not a reason,SMUSE_i_W144 == 1,WEIGHT_W144_TT,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T28,TikTok,TTWHY,TTWHY_g_W144,Look at product reviews or recommendations,1=Major reason; 2=Minor reason; 3=Not a reason,SMUSE_i_W144 == 1,WEIGHT_W144_TT,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
