table_id,column,displayed_base,flag
T12,Age | 18-29,542,OK
T12,Age | 30-49,1966,OK
T12,Age | 50-64,1219,OK
T12,Age | 65+,768,OK
T12,Gender | A man,1602,OK
T12,Gender | A woman,2845,OK
T12,Gender | In some other way,44*,SMALL BASE
T12,Education | College graduate+,2426,OK
T12,Education | Some College,1334,OK
T12,Education | H.S. graduate or less,726,OK
T12,Region | Northeast,781,OK
T12,Region | Midwest,850,OK
T12,Region | South,1808,OK
T12,Region | West,1059,OK
T12,Income | Lower income,1001,OK
T12,Income | Middle income,2175,OK
T12,Income | Upper income,1102,OK
T13,Age | 18-29,541,OK
T13,Age | 30-49,1962,OK
T13,Age | 50-64,1217,OK
T13,Age | 65+,766,OK
T13,Gender | A man,1600,OK
T13,Gender | A woman,2838,OK
T13,Gender | In some other way,44*,SMALL BASE
T13,Education | College graduate+,2426,OK
T13,Education | Some College,1329,OK
T13,Education | H.S. graduate or less,722,OK
T13,Region | Northeast,778,OK
T13,Region | Midwest,849,OK
T13,Region | South,1806,OK
T13,Region | West,1056,OK
T13,Income | Lower income,995,OK
T13,Income | Middle income,2171,OK
T13,Income | Upper income,1102,OK
T14,Age | 18-29,543,OK
T14,Age | 30-49,1968,OK
T14,Age | 50-64,1219,OK
T14,Age | 65+,765,OK
T14,Gender | A man,1602,OK
T14,Gender | A woman,2845,OK
T14,Gender | In some other way,44*,SMALL BASE
T14,Education | College graduate+,2427,OK
T14,Education | Some College,1334,OK
T14,Education | H.S. graduate or less,725,OK
T14,Region | Northeast,780,OK
T14,Region | Midwest,853,OK
T14,Region | South,1806,OK
T14,Region | West,1059,OK
T14,Income | Lower income,999,OK
T14,Income | Middle income,2173,OK
T14,Income | Upper income,1104,OK
T15,Age | 18-29,314,OK
T15,Age | 30-49,1032,OK
T15,Age | 50-64,757,OK
T15,Age | 65+,447,OK
T15,Gender | A man,1409,OK
T15,Gender | A woman,1115,OK
T15,Gender | In some other way,29**,VERY SMALL BASE
T15,Education | College graduate+,1462,OK
T15,Education | Some College,738,OK
T15,Education | H.S. graduate or less,350,OK
T15,Region | Northeast,423,OK
T15,Region | Midwest,503,OK
T15,Region | South,1088,OK
T15,Region | West,540,OK
T15,Income | Lower income,526,OK
T15,Income | Middle income,1220,OK
T15,Income | Upper income,717,OK
T16,Age | 18-29,314,OK
T16,Age | 30-49,1033,OK
T16,Age | 50-64,752,OK
T16,Age | 65+,450,OK
T16,Gender | A man,1410,OK
T16,Gender | A woman,1113,OK
T16,Gender | In some other way,29**,VERY SMALL BASE
T16,Education | College graduate+,1461,OK
T16,Education | Some College,738,OK
T16,Education | H.S. graduate or less,350,OK
T16,Region | Northeast,422,OK
T16,Region | Midwest,499,OK
T16,Region | South,1091,OK
T16,Region | West,541,OK
T16,Income | Lower income,524,OK
