table_id,platform,banner,category,unweighted_n,effective_n,weighting_deff
T05,Facebook,Income,Upper income,1592,916.9194771531414,1.7362484271169085
T06,Facebook,Total,Total,7140,2952.7107018430324,2.4181170188949874
T06,Facebook,Age,18-29,433,236.8581326310208,1.8280985127689509
T06,Facebook,Age,30-49,2354,999.9493438627176,2.354119250587937
T06,Facebook,Age,50-64,2157,1168.226805157573,1.8463880391008998
T06,Facebook,Age,65+,2183,1250.285730265026,1.7460008917619692
T06,Facebook,Gender,A man,2836,1079.7103056301614,2.626630481539026
T06,Facebook,Gender,A woman,4258,1908.5964414787293,2.230958785976262
T06,Facebook,Gender,In some other way,35,17.533499579083706,1.9961787914691407
T06,Facebook,Education,College graduate+,3441,1809.3298812204346,1.9018090817573667
T06,Facebook,Education,Some College,2315,982.0231601106199,2.3573782106515973
T06,Facebook,Education,H.S. graduate or less,1361,654.3837250836216,2.0798194512341857
T06,Facebook,Region,Northeast,1173,501.90667492217835,2.3370878663486114
T06,Facebook,Region,Midwest,1592,671.9508856247181,2.369220777973832
T06,Facebook,Region,South,2853,1131.7894428277214,2.520786899082498
T06,Facebook,Region,West,1519,649.7647815544353,2.3377690560052966
T06,Facebook,Income,Lower income,1652,644.2358475944909,2.5642782936845174
T06,Facebook,Income,Middle income,3510,1580.6110958906663,2.220660103630446
T06,Facebook,Income,Upper income,1593,917.2732322267123,1.7366690142401058
T07,Facebook,Total,Total,7143,2953.937665897869,2.4181282098343932
T07,Facebook,Age,18-29,433,236.8581326310208,1.8280985127689509
T07,Facebook,Age,30-49,2354,999.7956115689467,2.3544812287242833
T07,Facebook,Age,50-64,2159,1169.5656981902998,1.8459843712419732
T07,Facebook,Age,65+,2184,1253.8730115460394,1.741803180935447
T07,Facebook,Gender,A man,2836,1079.3132559728706,2.627596746640241
T07,Facebook,Gender,A woman,4260,1909.8748990432916,2.2305125859991928
T07,Facebook,Gender,In some other way,36,18.413605380437744,1.9550761111805783
T07,Facebook,Education,College graduate+,3443,1810.217211896271,1.9019816944472245
